user_role,department,country,city,device_type,device_fingerprint,browser,os,auth_method,resource_accessed,login_hour,session_duration,failed_login_attempts,command_count,device,operating_system,resource
2,1,2,11,0,335,1,0,0,2,19,4,6,27,3,3,5
1,0,2,11,1,94,1,2,0,6,23,1,13,20,3,3,5
4,4,1,3,1,1,1,1,2,0,22,3,10,37,3,3,5
0,3,1,3,1,124,3,1,0,2,20,2,10,28,3,3,5
3,2,1,1,2,394,1,2,2,4,22,3,8,19,3,3,5
4,4,0,2,1,427,1,1,3,0,20,4,7,39,3,3,5
4,4,0,2,1,108,1,2,3,6,22,148,6,223,3,3,1
4,4,2,11,0,494,3,1,0,2,21,2,14,17,3,3,5
4,4,2,11,2,41,3,0,3,6,21,4,10,7,3,3,5
0,3,3,5,1,369,3,1,0,0,22,3,9,11,3,3,5
1,0,1,1,1,431,3,1,2,2,22,4,12,17,3,3,5
1,0,4,10,0,386,1,1,0,6,20,1,9,40,3,3,5
0,3,4,0,1,61,2,2,3,2,20,3,7,10,3,3,5
1,0,1,1,1,14,3,1,3,3,21,6,7,17,3,3,5
0,3,0,7,2,184,1,0,3,6,20,4,13,16,3,3,5
4,4,1,3,2,292,3,2,2,0,22,2,9,25,3,3,5
3,2,2,11,1,151,3,1,3,4,20,2,13,18,3,3,5
4,4,1,3,0,343,2,1,2,6,21,2,14,6,3,3,5
4,4,3,5,2,126,3,0,3,6,23,4,7,20,3,3,5
4,4,2,11,0,121,2,1,3,3,21,4,9,23,3,3,5
0,3,4,0,1,61,3,2,3,2,22,4,11,30,3,3,5
2,1,3,5,0,159,3,2,0,1,19,3,12,6,3,3,5
3,2,0,7,1,8,3,0,3,1,21,3,10,6,3,3,5
3,2,2,11,1,151,3,1,3,4,21,3,5,26,3,3,5
0,3,1,6,0,134,3,0,3,0,21,2,9,22,3,3,5
2,1,3,4,1,264,3,0,3,2,21,1,13,34,3,3,5
1,0,3,5,1,421,2,1,2,6,21,2,8,25,3,3,5
1,0,4,8,2,301,0,2,1,3,0,9,1,21,3,3,5
2,1,0,7,0,372,3,2,2,2,19,3,10,11,3,3,5
4,4,4,0,2,331,1,2,0,0,19,2,11,38,3,3,5
3,2,4,0,2,364,3,0,3,1,23,2,8,32,3,3,5
2,1,4,10,1,241,2,0,2,1,21,3,7,15,3,3,5
3,2,0,2,2,55,2,1,3,1,21,3,10,14,3,3,5
1,0,3,4,1,39,3,1,3,6,19,4,11,39,3,3,5
1,0,4,0,2,384,3,2,3,6,22,1,8,39,3,3,5
2,1,1,9,1,211,2,1,3,2,21,4,12,23,3,3,5
2,1,2,11,2,497,1,2,2,2,19,4,8,35,3,3,5
0,3,4,8,2,422,3,2,2,2,20,2,7,13,3,3,5
4,4,2,11,2,476,1,1,3,3,22,2,9,28,3,3,5
3,2,2,11,1,110,2,1,0,2,20,1,8,18,3,3,5
2,1,4,8,2,415,1,0,0,2,20,4,12,36,3,3,5
2,1,3,4,2,220,2,2,0,2,20,5,6,24,3,3,5
1,0,2,11,2,94,1,2,0,6,21,3,8,26,3,3,5
3,2,1,3,0,383,2,0,2,2,22,3,11,35,3,3,5
4,4,2,11,0,302,1,0,0,6,20,1,6,34,3,3,5
4,4,1,6,1,412,1,0,0,3,22,2,10,8,3,3,5
1,0,4,0,1,146,2,0,0,2,21,3,7,24,3,3,5
2,1,4,10,1,507,2,2,2,0,20,1,6,30,0,1,5
1,0,2,11,2,281,3,1,2,5,22,4,12,36,3,3,5
3,2,4,10,2,175,3,1,3,1,21,1,9,10,3,3,5
2,1,1,3,1,247,3,2,2,0,21,1,10,18,3,3,5
3,2,0,7,2,404,2,1,0,2,22,3,7,30,3,3,5
2,1,3,4,2,38,3,0,0,0,20,3,13,37,3,3,5
3,2,4,8,2,400,3,2,3,2,20,4,8,28,3,3,5
2,1,4,0,1,152,2,1,2,2,20,4,12,32,3,3,5
1,0,1,6,2,491,2,1,0,2,21,4,6,38,3,3,5
2,1,4,10,2,300,1,0,0,1,19,1,6,26,3,3,5
0,3,1,3,1,459,2,1,2,2,21,1,12,10,3,3,5
3,2,2,11,0,438,1,0,3,1,22,3,7,38,3,3,5
4,4,1,9,0,172,1,0,3,2,22,4,14,40,3,3,5
2,1,2,11,2,48,3,1,2,1,20,3,14,21,3,3,5
3,2,0,2,1,7,1,0,0,2,21,4,13,18,3,3,5
2,1,2,11,1,229,1,1,2,0,19,4,13,34,3,3,5
